,netapp_ontap.system_node,storage.name,LOB,model,Installed_Version,node_version,cluster_name,node_version_install_time_without_timezone,current_date,days_passed_last_ontap_upgrade,Target Golden Image,Target Golden Image-1,Target Golden Image-2,OS_Compliance,OS_Compliance-1
1091,stnpa3-02-st075,stnpca3-st075,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st075,2023-04-08 15:27:00,2023-04-17 16:26:00,9.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1092,stnpa3-02-st077,stnpca3-st077,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st077,2022-12-03 22:06:00,2023-04-17 16:26:00,134.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1093,stnpa3-02-st079,stnpca3-st079,CCloud,AFF-A800,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca3-st079,2022-07-09 22:06:00,2023-04-17 16:26:00,281.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
1094,stnpa3-02-st080,stnpca3-st080,CCloud,AFF-A800,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca3-st080,2022-07-09 22:10:00,2023-04-17 16:26:00,281.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
1095,stnpa3-02-st082,stnpca3-st082,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st082,2023-02-02 14:10:00,2023-04-17 16:26:00,74.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1096,stnpa4-01-cp004,stnpca4-cp004,CCloud,AFF8040,9.8.0P16,NetApp Release 9.8P16: Fri Dec 02 02:05:05 UTC 2022,stnpca4-cp004,2023-02-16 04:33:00,2023-04-17 16:26:00,60.0,9.8.0P16,9.8.0P12,,True,True
1097,stnpa4-01-md002,stnpca4-md002,CCloud,AFF8040,9.8.0P12,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,stnpca4-md002,2022-07-22 19:14:00,2023-04-17 16:26:00,268.0,9.8.0P16,9.8.0P12,,False,True
1098,stnpa4-01-md008,stnpca4-md008,CCloud,AFF-A300,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca4-md008,2022-07-23 23:41:00,2023-04-17 16:26:00,267.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
1099,stnpa4-01-md013,stnpca4-md013,CCloud,AFF-A300,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca4-md013,2022-06-26 05:24:00,2023-04-17 16:26:00,295.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
1100,stnpa4-01-md027,stnpca4-md027,CCloud,AFF-A300,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-md027,2022-12-17 22:07:00,2023-04-17 16:26:00,120.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1101,stnpa4-01-st003,stnpca4-st003,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st003,2023-02-28 22:27:00,2023-04-17 16:26:00,47.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1102,stnpa4-01-st007,stnpca4-st007,CCloud,AFF-A700s,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st007,2023-04-09 22:23:00,2023-04-17 16:26:00,7.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1103,stnpa4-01-st023,stnpca4-st023,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st023,2023-01-13 20:23:00,2023-04-17 16:26:00,93.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1104,stnpa4-01-st028,stnpca4-st028,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st028,2023-02-05 22:30:00,2023-04-17 16:26:00,70.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1105,stnpa4-01-st029,stnpca4-st029,CCloud,AFF-A800,9.10.1P4,NetApp Release 9.10.1P4: Mon May 09 22:11:44 UTC 2022,stnpca4-st029,2022-07-24 05:46:00,2023-04-17 16:26:00,267.0,9.10.1P8,9.10.1P5,9.8.0P12,False,False
1106,stnpa4-01-st030,stnpca4-st030,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st030,2023-02-26 22:25:00,2023-04-17 16:26:00,49.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1107,stnpa4-01-st031,stnpca4-st031,CCloud,AFF-A700s,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st031,2023-02-28 15:46:00,2023-04-17 16:26:00,48.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1108,stnpa4-01-st032,stnpca4-st032,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st032,2023-01-05 22:14:00,2023-04-17 16:26:00,101.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1109,stnpa4-01-st033,stnpca4-st033,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st033,2022-12-16 19:04:00,2023-04-17 16:26:00,121.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1110,stnpa4-01-st034,stnpca4-st034,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st034,2022-12-03 22:07:00,2023-04-17 16:26:00,134.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1111,stnpa4-01-st037,stnpca4-st037,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st037,2023-02-08 15:37:00,2023-04-17 16:26:00,68.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1112,stnpa4-01-st038,stnpca4-st038,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca4-st038,2022-12-08 15:07:00,2023-04-17 16:26:00,130.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1113,stnpa4-01-st039,stnpca4-st039,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca4-st039,2023-03-01 04:41:00,2023-04-17 16:26:00,47.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
